precinct,arrival_time,voting_duration,start_time
Little Rodentia (1 booth),13.379872008406657,2,13.379872008406657
Little Rodentia (1 booth),15.58301311279385,0.11679494182037305,15.58301311279385
Little Rodentia (1 booth),17.91814000314448,4.150338780007082,17.91814000314448
Little Rodentia (1 booth),18.98291761852403,11.309437937189305,22.068478783151562
Little Rodentia (1 booth),22.28885488022118,2,33.37791672034086
Little Rodentia (1 booth),22.714187607015734,22.73933185274795,35.37791672034086
Little Rodentia (1 booth),35.051335884445805,2,58.117248573088816
Little Rodentia (1 booth),48.890626160849465,2,60.117248573088816
Little Rodentia (1 booth),51.34236724898586,2,62.117248573088816
Little Rodentia (1 booth),51.475558782044025,2,64.11724857308882
Little Rodentia (2 booths),13.379872008406657,2,13.379872008406657
Little Rodentia (2 booths),15.58301311279385,0.11679494182037305,15.58301311279385
Little Rodentia (2 booths),17.91814000314448,4.150338780007082,17.91814000314448
Little Rodentia (2 booths),18.98291761852403,11.309437937189305,18.98291761852403
Little Rodentia (2 booths),22.28885488022118,2,22.28885488022118
Little Rodentia (2 booths),22.714187607015734,22.73933185274795,24.28885488022118
Little Rodentia (2 booths),35.051335884445805,2,35.051335884445805
Little Rodentia (2 booths),48.890626160849465,2,48.890626160849465
Little Rodentia (2 booths),51.34236724898586,2,51.34236724898586
Little Rodentia (2 booths),51.475558782044025,2,51.475558782044025
